config,seed,accuracy,auc,brier,log_loss
F4×H4,82,0.7175217118810995,0.7725294731949828,0.1822713315486908,0.5377577277445276
F4×H4,83,0.7184170471841704,0.7727414788952441,0.18229417502880096,0.5376425637257233
F4×H4,84,0.7180589130629421,0.772926529261868,0.1821828931570053,0.5374334258787138
F4×H4,85,0.7181484465932492,0.7728821199581606,0.1822083741426468,0.5374975344220583
F4×H4,86,0.7184170471841704,0.7730487418558871,0.18214693665504456,0.5374046614421504
F4×H4,87,0.7190437818963201,0.7729782647085459,0.18218094110488892,0.5376086876013352
F4×H4,88,0.7176112454114065,0.7726975394391857,0.182308167219162,0.5377191447359
F4×H4,89,0.7184170471841704,0.7727951111342826,0.18224169313907623,0.5375827443360036
F4×H4,90,0.717969379532635,0.7728844865981701,0.1823120266199112,0.5376890358189493
F4×H4,91,0.7187751813053989,0.7731506465904131,0.18209214508533478,0.5372394823629242
F4×H4,92,0.718864714835706,0.7729256939771588,0.18209688365459442,0.5373278127595027
F4×H4,93,0.7172531112901782,0.7726289764859697,0.18227624893188477,0.5376025065229222
F4×H4,94,0.7185065807144776,0.7727830343095282,0.18222366273403168,0.5377034665391712
F4×H4,95,0.7185961142447846,0.7728670674316297,0.18215401470661163,0.5375819144741146
F4×H4,96,0.718864714835706,0.77333118989996,0.1820850521326065,0.5372555934292775
F4×H4,97,0.7176112454114065,0.7726774926061643,0.18233948945999146,0.5377370624581927
F4×H4,98,0.7185065807144776,0.7730688234924381,0.18220867216587067,0.5373836926570656
F4×H4,99,0.7193123824872415,0.7729412163513386,0.182109534740448,0.5373685016290164
F1×H5,0,0.7189542483660131,0.7737614485340369,0.18180568516254425,0.5366431676474566
F1×H5,1,0.7180589130629421,0.7735009267135813,0.18198738992214203,0.5369573250719096
F1×H5,2,0.7184170471841704,0.7739239810170414,0.18189187347888947,0.5366666654749627
F1×H5,3,0.7189542483660131,0.7738375464514009,0.1818270981311798,0.5365984499466261
F1×H5,4,0.7185961142447846,0.7738611258426717,0.1818246692419052,0.5365346104252675
F1×H5,5,0.7181484465932492,0.7736524090759531,0.1818162053823471,0.5366103260902346
F1×H5,6,0.7194019160175485,0.7736688363419011,0.18191824853420258,0.5366851380440633
F1×H5,7,0.7185961142447846,0.7735799655291922,0.18197093904018402,0.5369605916941209
F1×H5,8,0.7192228489569343,0.7734392722609814,0.18190200626850128,0.536875823894651
F1×H5,9,0.7185961142447846,0.7738206145342742,0.18185275793075562,0.5366328095069117
F1×H5,10,0.7191333154266273,0.7739269567188178,0.1817924827337265,0.5365402533123739
F1×H5,11,0.717969379532635,0.7734749284770066,0.18190358579158783,0.5366864198830645
F1×H5,12,0.719849583669084,0.7735351037796008,0.1818891167640686,0.5366728186377433
F1×H5,13,0.7189542483660131,0.7738731678638965,0.18185153603553772,0.5365484395087172
F1×H5,14,0.7194914495478557,0.7737243131680059,0.1819317489862442,0.5366811859979578
F1×H5,15,0.7177007789417137,0.7738488575985049,0.18191920220851898,0.536719829906658
F1×H5,16,0.7182379801235562,0.7735166231054089,0.18196040391921997,0.5369145032376426
F1×H5,17,0.7181484465932492,0.7733291886970108,0.18204724788665771,0.5370551708450615
F1×H5,18,0.7189542483660131,0.773609374511663,0.18188124895095825,0.5366712051614503
F1×H5,19,0.7182379801235562,0.7737385304098277,0.18186436593532562,0.5366697972351079
F1×H5,20,0.7189542483660131,0.7737227992144703,0.18194571137428284,0.5367206296880515
F1×H5,21,0.7185065807144776,0.7738926404386804,0.18189261853694916,0.5366773504112868
F1×H5,22,0.7190437818963201,0.7737478229522178,0.1818954050540924,0.5367414656466154
F1×H5,23,0.718864714835706,0.7739225192688001,0.1818004548549652,0.5366167993664704
F1×H5,24,0.7194914495478557,0.7734502875780843,0.1818992793560028,0.5368317375702668
F1×H5,25,0.7192228489569343,0.7735799133238979,0.18188977241516113,0.5367929715659828
F1×H5,26,0.7192228489569343,0.7738019424406699,0.18189449608325958,0.5366461320460953
F1×H5,27,0.7189542483660131,0.7736508951224175,0.18186096847057343,0.5366401244007231
F1×H5,28,0.7190437818963201,0.7734193472403132,0.1819702386856079,0.5368998239453199
F1×H5,29,0.7185065807144776,0.7739267478976406,0.1818101853132248,0.5366091679871069
F1×H5,30,0.7186856477750918,0.773883295690996,0.18182815611362457,0.5365868908231743
F1×H5,31,0.7189542483660131,0.7738332134119718,0.18180802464485168,0.5366017104802151
F1×H5,32,0.7195809830781628,0.7737773363452771,0.18185362219810486,0.5365831824090842
F1×H5,33,0.7180589130629421,0.7738941369904511,0.18182723224163055,0.5365424360614456
F1×H5,34,0.718864714835706,0.7737312564721515,0.18184112012386322,0.5366642184619358
F1×H5,35,0.7184170471841704,0.77372669720978,0.18179786205291748,0.5367521514004834
F1×H5,36,0.7194019160175485,0.7739527635359802,0.18179605901241302,0.5364872829960468
F1×H5,37,0.7183275136538634,0.773605894158708,0.18186944723129272,0.536664047960129
F1×H5,38,0.7181484465932492,0.7736378263970711,0.1819811463356018,0.5368549663591864
F1×H5,39,0.7195809830781628,0.7737691575158326,0.18185490369796753,0.5364945577237177
F1×H5,40,0.7190437818963201,0.7739601592860098,0.1817834973335266,0.5365077120141626
F1×H5,41,0.7178798460023279,0.773340813075881,0.1820252239704132,0.5370590686267593
F1×H5,42,0.7196705166084699,0.7736849155725539,0.18191863596439362,0.5368008203764422
F1×H5,43,0.7182379801235562,0.7734485822051363,0.18200798332691193,0.537062075511539
